id|description
29_3254_XІІ|29 ст. Закона № 3254-XІІ - Закон РБ Об общественных объединениях. Ликвидация общественного объединения
296_1|296 ч.1 УК - Незаконные ношение либо перевозка холодного оружия совершенные в течение года после наложения административного взыскания за такие же действия
342_2|342 ч.2 УК - Обучение или иная подготовка лиц для участия в групповых действиях, грубо нарушающих общественный порядок
342.2|342-2 УК - Неоднократное нарушение порядка организации или проведения массовых мероприятий
411_2|411 УК ч.2 - Злостное неповиновение требованиям администрации исправительного учреждения, исполняющего наказание в виде лишения свободы, совершенное лицом, осужденным за тяжкое или особо тяжкое преступление
216_2|216 УК ч.2 - Причинение имущественного ущерба без признаков хищения, совершенное группой лиц по предварительному сговору
130_1|130 УК ч.1 УК - Умышленные действия, направленные на возбуждение расовой, национальной, религиозной либо иной социальной вражды
411|411 УК - Злостное неповиновение требованиям администрации исправительного учреждения, исполняющего наказание в виде лишения свободы
340|340 УК - Заведомо ложное сообщение об опасности
356|356 УК - Измена государству
427|427 УК - Служебный подлог
389|389 УК - Угроза в отношении судьи или народного заседателя
198|198 УК - Воспрепятствование законной профессиональной деятельности журналиста
427_1|427 УК ч.1 - Внесение должностным или иным уполномоченным лицом заведомо ложных сведений и записей в официальные документы
361-1_3|361-1 УК ч.3 - Вхождение лица в состав экстремистского формирования в целях совершения преступления экстремистской направленности (участие в экстремистском формировании)
317-2|317-2 УК - Управление транспортным средством лицом, не имеющим права управления
346_2|346 ч.2 УК - Оскорбление историко-культурной ценности
203-1|203-1 УК - Незаконные действия в отношении информации о частной жизни и персональных данных
333|333 УК - Незаконный оборот сильнодействующих или ядовитых веществ
296|296 УК - Незаконные действия в отношении холодного оружия
216|216 УК - Причинение имущественного ущерба без признаков хищения
130_2|130 ч.2 УК - Разжигание расовой, национальной, религиозной либо иной социальной вражды или розни соединенные с насилием либо совершенные должностным лицом
361-1|361-1 УК - Создание экстремистского формирования либо участие в нем
424|424 УК - Злоупотребление властью или служебными полномочиями
233|233 УК - Предпринимательская деятельность, осуществляемая без специального разрешения (лицензии)
16|16 УК - Соучастие в преступлении
